year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2015	12020	26172	A&M-Corpus Chris	22	1510027	Toney, Emmanuel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1510027	So	G	6-2	33	24	646:00	31	71	43.66	5	21	23.81	24	32	75.00	91	2.76	29	38	67	2.03	26	24	32	2	58	 	 	2
2015	12020	26172	A&M-Corpus Chris	10	1289299	Jordan, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1289299	Sr	G	5-10	33	33	1180:00	163	359	45.40	12	41	29.27	180	277	64.98	518	15.70	27	101	128	3.88	172	87	60	3	69	2	 	1
2015	12020	26172	A&M-Corpus Chris	23	1510030	Douvier, Bryce	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1510030	Jr	F	6-7	33	29	827:00	97	213	45.54	32	78	41.03	65	79	82.28	291	8.82	46	144	190	5.76	18	51	13	12	107	2	 	5
2015	12020	26172	A&M-Corpus Chris	25	1510028	Thomas, Rashawn	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1510028	So	F	6-7	32	27	886:00	151	273	55.31	 	6	0.00	139	217	64.06	441	13.78	91	164	255	7.97	31	102	18	40	117	10	 	5
2015	12020	26172	A&M-Corpus Chris	11	1402236	Currie, Jelani	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1402236	Jr	G	6-4	32	9	646:00	63	129	48.84	17	37	45.95	45	64	70.31	188	5.88	28	63	91	2.84	28	30	20	13	54	 	 	 
2015	12020	26172	A&M-Corpus Chris	04	1620841	Amin, Ehab	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1620841	Fr	G	6-3	32	5	477:00	52	126	41.27	10	52	19.23	46	67	68.66	160	5.00	11	65	76	2.38	27	40	33	5	68	 	 	1
2015	12020	26172	A&M-Corpus Chris	00	1402242	Pye, Brandon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1402242	Jr	G	6-0	30	28	919:00	97	227	42.73	46	116	39.66	37	44	84.09	277	9.23	5	36	41	1.37	21	29	25	 	39	 	 	 
2015	12020	26172	A&M-Corpus Chris	34	1402237	Francis, Dale	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1402237	Jr	F	6-9	29	10	348:00	18	60	30.00	17	53	32.08	3	4	75.00	56	1.93	11	17	28	0.97	3	5	4	4	64	 	 	1
2015	12020	26172	A&M-Corpus Chris	31	1620843	Juricek, Viktor	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1620843	Jr	F	6-11	28	0	195:00	14	46	30.43	5	20	25.00	18	24	75.00	51	1.82	14	10	24	0.86	5	21	3	2	40	 	 	1
2015	12020	26172	A&M-Corpus Chris	02	1402240	Martinez, Cole	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1402240	Jr	G	6-2	27	0	177:00	17	51	33.33	13	42	30.95	15	15	100.00	62	2.30	4	11	15	0.56	1	12	6	1	20	 	 	 
2015	12020	26172	A&M-Corpus Chris	03	1620844	Kilgore, Joe	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1620844	Fr	G	6-5	24	0	193:00	19	49	38.78	3	16	18.75	7	12	58.33	48	2.00	6	15	21	0.88	4	9	6	3	21	 	 	1
2015	12020	26172	A&M-Corpus Chris	05	1620845	Traylor, T.J.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1620845	Jr	F	6-8	12	0	99:00	3	11	27.27	 	 	""	5	13	38.46	11	0.92	6	14	20	1.67	3	1	1	5	17	 	 	 
2015	12020	26172	A&M-Corpus Chris	01	1289295	Ali, Hameed	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1289295	Sr	G	6-2	2	0	20:00	2	6	33.33	 	2	0.00	 	 	""	4	2.00	1	 	1	0.50	4	1	1	 	1	 	 	 
2015	12020	26172	A&M-Corpus Chris	15	1620842	Bloom, David	http://stats.ncaa.org/player?game_sport_year_ctl_id=12020&stats_player_seq=1620842	Fr	G	6-4	2	0	6:00	 	3	""	 	 	""	2	6	33.33	2	1.00	2	1	3	1.50	 	 	 	 	 	 	 	 
